restaurant_id,name,city,cuisine,latitude,longitude,takeaway,delivery,opening_hours
296568074,The Brass Rail,New York,Unknown,40.7385968,-74.0303486,Unknown,Unknown,Unknown
305499273,Court Street,New York,Unknown,40.7433179,-74.0285824,Unknown,Unknown,"Mo-Sa 16:30-23:00; Su 11:00-15:00,16:30-22:00"
357620442,Sam Sunny,New York,korean,40.7415576,-73.9784628,Unknown,Unknown,Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00
380044344,Pedro's,New York,mexican;burrito;tacos;nachos;enchilada,40.7025316,-73.9865653,Unknown,Unknown,Mo-Su 12:00-23:00
410235438,Trudy's Ice Cream,New York,dessert,40.8003773,-73.9618056,Unknown,Unknown,Mo-Fr 12:00-21:00; Sa-Su 11:00-21:00
418524116,Talay Thai Restaurant,New York,thai,40.6424804,-74.0766747,Unknown,Unknown,11:00-09:30
419359942,Boutros,New York,middle_eastern;american;brunch,40.6901687,-73.9934852,Unknown,Unknown,"Mo-Th 17:30-23:30; Fr 17:30-01:00; Sa 11:00-15:30,17:30-01:00; Su 11:00-15:30,17:00-23:30"
419359956,Bubo,New York,mediterranean;american,40.7460362,-73.9776676,Unknown,Unknown,"Mo-Th 16:00-01:00, Fr 16:00-02:30, Sa 12:00-01:00, Su 12:00-11:30"
419359995,Little Alley,New York,chinese;shanghai,40.7473845,-73.9771526,yes,yes,"Mo-Th 11:30-15:00,17:00-22:00; Fr-Sa 11:30-15:00,17:00-22:30; Su 11:30-15:00,17:00-22:00"
419361808,Mikado,New York,sushi,40.6902604,-73.9938187,Unknown,yes,"Mo-Th 10:30-15:30,17:00-22:00; Fr 10:30-23:00; Sa 12:00-23:00; Su 12:00-22:00"
419362699,The Musket Room,New York,continental;eclectic,40.7239188,-73.9937813,Unknown,Unknown,Tu-Sa 17:00-23:00
419367357,Nha Trang One,New York,vietnamese,40.7167899,-73.9996711,Unknown,Unknown,Mo-Su 10:30-22:00
419367625,Mi,New York,chinese,40.7461325,-73.9775916,Unknown,Unknown,Mo-Su 11:30-21:00
524691386,Mugs Ale House,New York,Unknown,40.7194991,-73.9557619,Unknown,Unknown,Unknown
570912397,Le Monde,New York,french;loire_valley,40.8057782,-73.9658657,Unknown,Unknown,Unknown
617740844,Carmine's Pizzeria,New York,pizza,40.714968,-73.9443016,Unknown,Unknown,Unknown
617740846,El Loco Burrito,New York,mexican,40.7148102,-73.9445968,yes,yes,Mo-Sa 11:00-21:00; Su 12:00-21:00
617740847,Tony's Pizza,New York,pizza,40.7150542,-73.9446372,yes,yes,Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 10:00-23:00
617741150,East Met West,New York,chinese,40.714447,-73.9439212,yes,yes,"Mo-Th 11:00-23:00; Fr, Sa 11:00-23:30; Su 11:30-23:00"
617741196,Il Passatore,New York,Unknown,40.7143441,-73.9420637,yes,yes,17:00-22:00
629872702,Sarah James,New York,Unknown,40.6932477,-73.9425684,Unknown,Unknown,Unknown
643414350,Hard Rock Cafe,New York,american,40.756994,-73.9865512,Unknown,yes,Unknown
661889865,Carbone,New York,Unknown,40.7554192,-73.9930152,Unknown,Unknown,Unknown
662433328,Freemans,New York,american,40.7219891,-73.9924423,Unknown,Unknown,Mo-Th 11:00-23:00; Fr 11:00-02:00; Sa 10:00-02:00; Su 10:00-23:00
662435489,Aurora,New York,italian,40.715682,-73.964684,Unknown,Unknown,Unknown
663104998,Tick Tock Diner,New York,diner,40.7524435,-73.9935503,yes,no,"We-Su 00:00-00:00; Mo, Tu 06:00-22:00"
663354158,Giovanni,New York,italian,40.779131,-73.960536,Unknown,Unknown,Unknown
693891973,The Good Fork,New York,korean;american,40.6759784,-74.0142976,Unknown,Unknown,Tu-Fr 16:00-24:00; Sa-Su 12:00-24:00
732372474,Vinegar Hill House,New York,american,40.7027578,-73.9812369,Unknown,Unknown,"Mo-Th 17:30-21:30; Fr 17:30-22:00; Sa 10:00-15:00,17:30-22:00; Su 10:00-15:00,17:30-21:30"
763650163,Junior's,New York,Unknown,40.7582151,-73.9866267,Unknown,Unknown,"Mo-Th, Su 06:30-00:00; Fr, Sa 06:30-01:00"
765782913,Marlow & Sons,New York,american,40.7106872,-73.9656773,yes,Unknown,"Mo-Th, Su 08:00-23:00; Fr, Sa 08:00-24:00"
765800358,Diner,New York,american,40.7106766,-73.9655977,yes,Unknown,"Mo-Th 18:00-24:00; Fr 11:00-24:00; Sa, Su 10:00-24:00"
